skin_type,oiliness_level,dryness_level,sensitivity_level,acne_severity,dark_spots_level,redness_level,age,label
sensitive,1,7,10,2,5,4,21,Dry & Sensitive
acne,9,0,4,10,0,3,18,Oily & Acne
balanced,2,5,6,0,7,4,27,Pigmentation-Prone
dry,5,5,6,3,7,5,32,Pigmentation-Prone
dry,4,5,6,1,10,5,36,Pigmentation-Prone
acne,7,0,3,10,2,6,18,Acne-Prone
dry,2,9,8,4,5,5,20,Dry & Sensitive
oily,9,3,1,8,1,3,49,Acne-Prone
oily,10,2,1,10,0,4,36,Oily & Acne
sensitive,4,5,6,2,2,3,41,Balanced
oily,7,0,2,9,2,5,43,Acne-Prone
oily,9,2,3,10,0,5,19,Oily & Acne
acne,8,2,4,7,4,5,41,Acne-Prone
oily,10,2,4,10,4,6,16,Oily & Acne
oily,6,3,6,1,0,0,37,Balanced
acne,8,3,1,7,0,5,50,Oily & Acne
acne,10,1,1,7,2,3,45,Oily & Acne
oily,8,3,0,7,3,5,32,Acne-Prone
balanced,4,5,6,0,9,2,46,Pigmentation-Prone
oily,3,6,6,1,4,2,23,Balanced
sensitive,3,8,10,4,5,3,37,Dry & Sensitive
dry,3,8,8,4,5,7,28,Dry & Sensitive
sensitive,1,8,8,3,3,7,36,Dry & Sensitive
acne,8,2,4,6,4,6,47,Oily & Acne
acne,9,0,2,9,1,5,22,Oily & Acne
balanced,4,4,6,2,9,2,28,Pigmentation-Prone
acne,8,3,3,8,1,4,27,Oily & Acne
acne,9,1,0,7,1,6,34,Oily & Acne
acne,9,0,0,8,3,5,24,Oily & Acne
oily,7,3,0,10,3,6,32,Oily & Acne
sensitive,0,10,8,4,2,7,23,Dry & Sensitive
acne,7,2,0,10,0,6,38,Acne-Prone
acne,10,0,4,7,4,3,28,Oily & Acne
dry,3,9,9,2,3,6,18,Dry & Sensitive
sensitive,6,5,4,0,3,3,35,Balanced
dry,4,4,5,0,7,5,34,Pigmentation-Prone
dry,5,4,4,0,7,5,32,Pigmentation-Prone
dry,4,4,4,2,7,3,50,Pigmentation-Prone
sensitive,2,10,7,4,2,4,16,Dry & Sensitive
balanced,6,6,6,0,3,1,48,Balanced
acne,9,2,3,7,0,3,48,Oily & Acne
balanced,3,4,3,0,9,2,37,Pigmentation-Prone
oily,10,2,4,10,0,3,33,Oily & Acne
oily,9,0,2,7,4,4,28,Acne-Prone
dry,2,9,8,3,3,7,38,Dry & Sensitive
balanced,3,5,4,2,10,4,30,Pigmentation-Prone
balanced,2,4,4,0,9,2,49,Pigmentation-Prone
dry,3,6,5,2,9,5,23,Pigmentation-Prone
acne,7,1,4,7,1,6,25,Acne-Prone
sensitive,2,7,10,0,0,7,28,Dry & Sensitive
oily,7,0,0,7,0,4,37,Acne-Prone
balanced,5,6,5,2,8,4,39,Pigmentation-Prone
sensitive,2,9,8,4,5,3,21,Dry & Sensitive
oily,10,2,3,10,3,5,34,Oily & Acne
balanced,3,5,6,0,8,3,36,Pigmentation-Prone
acne,9,3,4,10,2,7,46,Acne-Prone
oily,5,3,3,3,3,2,28,Balanced
dry,4,5,5,3,9,4,48,Pigmentation-Prone
balanced,4,6,3,1,7,4,31,Pigmentation-Prone
sensitive,3,7,9,3,4,5,41,Dry & Sensitive
acne,9,3,2,8,4,6,31,Acne-Prone
dry,5,6,5,0,10,5,25,Pigmentation-Prone
balanced,5,6,3,0,10,5,22,Pigmentation-Prone
dry,4,6,4,3,0,0,47,Balanced
acne,9,2,4,8,2,4,33,Acne-Prone
dry,3,6,5,1,10,3,31,Pigmentation-Prone
dry,5,5,3,0,10,3,18,Pigmentation-Prone
dry,3,9,8,0,2,7,38,Dry & Sensitive
acne,8,3,3,7,3,4,27,Oily & Acne
dry,3,4,4,0,4,2,26,Balanced
balanced,2,3,3,0,10,4,46,Pigmentation-Prone
acne,8,2,2,8,2,6,23,Acne-Prone
acne,8,2,2,8,3,7,25,Acne-Prone
balanced,3,3,6,0,0,0,27,Balanced
oily,7,0,1,7,1,7,22,Acne-Prone
acne,9,3,0,6,2,4,41,Oily & Acne
acne,10,1,4,8,2,5,27,Acne-Prone
dry,2,4,3,1,8,4,35,Pigmentation-Prone
dry,5,3,6,3,7,2,17,Pigmentation-Prone
dry,3,10,7,1,2,7,50,Dry & Sensitive
dry,2,8,10,1,2,7,20,Dry & Sensitive
balanced,6,5,3,2,4,0,42,Balanced
oily,5,5,4,0,1,0,41,Balanced
oily,9,1,0,10,1,5,27,Acne-Prone
oily,9,3,4,8,4,3,17,Acne-Prone
oily,5,3,3,2,3,3,32,Balanced
acne,9,0,0,9,0,4,38,Acne-Prone
dry,0,9,8,4,4,3,19,Dry & Sensitive
oily,9,0,3,9,1,6,34,Acne-Prone
sensitive,2,9,9,1,0,3,47,Dry & Sensitive
dry,0,9,10,0,5,7,31,Dry & Sensitive
dry,6,4,4,3,4,2,27,Balanced
oily,4,4,6,3,1,3,33,Balanced
acne,9,1,0,10,2,3,25,Oily & Acne
dry,2,7,10,1,1,4,23,Dry & Sensitive
balanced,4,6,3,0,8,2,32,Pigmentation-Prone
balanced,5,4,3,1,7,2,33,Pigmentation-Prone
sensitive,5,3,4,1,3,0,47,Balanced
sensitive,0,9,9,1,1,4,31,Dry & Sensitive
dry,5,6,3,1,10,2,28,Pigmentation-Prone
sensitive,3,8,8,1,4,6,21,Dry & Sensitive
oily,7,3,2,7,1,7,34,Acne-Prone
dry,3,7,9,1,1,3,40,Dry & Sensitive
dry,3,8,7,4,2,4,27,Dry & Sensitive
balanced,3,4,3,2,8,5,24,Pigmentation-Prone
balanced,5,6,3,2,3,1,37,Balanced
dry,5,4,5,2,3,2,40,Balanced
sensitive,0,9,9,1,3,3,39,Dry & Sensitive
balanced,4,4,5,2,0,2,23,Balanced
oily,8,0,4,9,3,6,23,Acne-Prone
balanced,4,5,6,1,8,4,27,Pigmentation-Prone
oily,8,1,3,6,1,5,38,Oily & Acne
oily,9,0,1,7,3,4,41,Acne-Prone
balanced,6,3,4,0,3,1,36,Balanced
dry,6,3,6,0,4,3,33,Balanced
balanced,2,3,3,0,7,4,29,Pigmentation-Prone
oily,8,0,2,9,2,7,21,Acne-Prone
sensitive,3,6,3,0,3,2,20,Balanced
balanced,3,6,4,3,1,4,27,Balanced
sensitive,2,10,10,0,3,7,20,Dry & Sensitive
sensitive,2,8,8,1,3,3,44,Dry & Sensitive
oily,8,3,0,7,0,6,21,Oily & Acne
acne,8,2,3,10,4,6,33,Oily & Acne
dry,5,6,5,1,7,5,40,Pigmentation-Prone
dry,6,4,4,3,3,4,46,Balanced
oily,8,1,0,8,2,6,39,Oily & Acne
acne,8,1,0,9,3,4,18,Oily & Acne
oily,8,0,1,10,4,4,50,Acne-Prone
oily,9,3,3,9,0,5,16,Oily & Acne
dry,5,4,6,0,8,4,37,Pigmentation-Prone
acne,7,3,0,8,4,3,37,Oily & Acne
sensitive,4,4,6,0,0,2,48,Balanced
sensitive,1,10,9,1,2,4,49,Dry & Sensitive
acne,9,2,3,8,1,6,19,Oily & Acne
dry,3,6,4,2,8,4,26,Pigmentation-Prone
dry,6,5,4,0,2,2,50,Balanced
dry,4,5,4,2,7,4,31,Pigmentation-Prone
balanced,3,3,5,2,9,4,47,Pigmentation-Prone
sensitive,2,9,8,4,4,5,19,Dry & Sensitive
dry,5,4,3,3,1,2,34,Balanced
dry,1,9,7,2,4,3,42,Dry & Sensitive
balanced,5,6,5,1,0,3,19,Balanced
oily,7,0,1,10,3,6,26,Oily & Acne
oily,5,3,4,0,1,1,37,Balanced
balanced,5,5,4,0,8,2,34,Pigmentation-Prone
oily,8,1,2,10,0,6,46,Oily & Acne
oily,9,2,4,8,1,7,19,Acne-Prone
dry,1,10,10,3,0,4,48,Dry & Sensitive
dry,3,6,3,1,10,5,17,Pigmentation-Prone
oily,9,1,2,10,4,6,21,Acne-Prone
acne,7,2,4,9,3,3,44,Oily & Acne
oily,9,1,1,9,1,3,39,Oily & Acne
dry,2,8,8,4,5,7,50,Dry & Sensitive
acne,9,3,0,9,4,4,28,Oily & Acne
balanced,5,3,6,1,7,2,43,Pigmentation-Prone
acne,10,1,2,9,1,3,47,Oily & Acne
dry,0,7,7,1,5,4,25,Dry & Sensitive
oily,6,3,3,0,4,3,40,Balanced
dry,3,6,4,0,9,2,28,Pigmentation-Prone
balanced,4,3,3,2,4,2,24,Balanced
balanced,5,4,5,3,10,4,45,Pigmentation-Prone
balanced,5,3,3,0,8,2,38,Pigmentation-Prone
sensitive,0,10,10,2,0,5,38,Dry & Sensitive
oily,8,3,1,7,0,4,28,Oily & Acne
oily,6,6,5,3,2,1,43,Balanced
balanced,6,6,3,3,3,4,19,Balanced
acne,9,0,1,9,0,5,40,Oily & Acne
dry,1,9,8,4,3,5,33,Dry & Sensitive
sensitive,0,7,10,1,2,4,19,Dry & Sensitive
dry,3,6,6,3,9,4,23,Pigmentation-Prone
sensitive,3,3,6,2,2,3,32,Balanced
sensitive,2,9,8,1,5,7,45,Dry & Sensitive
balanced,4,3,3,2,7,4,23,Pigmentation-Prone
oily,10,2,1,9,3,6,31,Acne-Prone
balanced,3,3,3,1,2,4,37,Balanced
balanced,4,3,3,2,4,2,16,Balanced
dry,2,8,10,4,1,6,32,Dry & Sensitive
acne,8,1,0,9,1,4,41,Acne-Prone
balanced,2,6,6,3,10,3,42,Pigmentation-Prone
acne,8,1,3,9,2,5,46,Oily & Acne
balanced,4,5,5,3,4,3,21,Balanced
balanced,5,4,4,0,9,5,26,Pigmentation-Prone
dry,6,3,3,1,2,4,43,Balanced
balanced,6,3,3,0,3,1,44,Balanced
acne,9,1,4,7,0,5,21,Oily & Acne
oily,8,2,2,8,4,4,49,Acne-Prone
dry,0,8,9,1,5,7,40,Dry & Sensitive
balanced,2,6,4,0,10,4,21,Pigmentation-Prone
